player_id,alias,skill,deck_name,top_8,top_16,top_32,top_64,Weighted Position
426,Kaitlin,-0.075,Fai,956,1111,2333,5019,2722.125
190,Lori,-1.271,Dromai,929,1019,2452,5331,2717.875
352,Samuel,-0.541,Fai,938,1133,2284,5134,2717.25
441,Anthony,-0.935,Rhinar,983,1059,2341,4764,2693.25
363,Candace,-0.986,Rhinar,975,1005,2323,5026,2686.5
504,Robert,-1.035,Katsu,970,1027,2296,4977,2679.625
220,Christopher,-1.081,Dash,917,1050,2420,5056,2679
288,Allison,1.066,Boltyn,923,1146,2244,4973,2678.625
380,Cynthia,-0.38,Iyslander,944,1072,2228,5047,2667.875
317,Charles,0.055,Iyslander,920,1070,2291,5043,2658.125
361,Frances,0.265,Dorinthea,904,1131,2220,4975,2646.375
39,Betty,-1.109,Bravo,929,1037,2255,4978,2633.5
404,Jack,-0.605,Rhinar,917,1010,2276,4913,2605.125
329,Jose,-0.887,Iyslander,879,1091,2205,4784,2573.75
412,Katherine,-0.404,Fai,919,994,2191,4818,2566
374,Angela,0.292,Boltyn,868,1085,2213,4774,2560.5
313,John,-0.302,Iyslander,879,1039,2209,4782,2548.5
77,Denise,0.673,Azalea,879,1051,2189,4749,2545.375
475,Jose,0.359,Azalea,869,1060,2169,4756,2535.75
62,Jada,1.328,Uzuri,808,1120,2109,4870,2504
87,Laurence,-0.824,Dromai,830,945,2262,5055,2499.875
35,Joan,-1.397,Dash,895,883,2218,4842,2496.25
331,Dora,-1.344,Dromai,848,873,2296,5077,2493.125
151,Steven,1.074,Boltyn,826,1143,2044,4652,2490
242,Rodney,-1.508,Rhinar,849,1014,2171,4721,2488.875
396,David,-1.023,Katsu,856,938,2256,4696,2476
466,George,-0.93,Katsu,869,942,2150,4641,2457.625
436,Maryann,0.4,Azalea,827,1020,2099,4583,2434.625
10,Shirley,0.966,Azalea,839,915,2135,4831,2434.125
304,Harry,-1.154,Katsu,854,870,2171,4623,2409.625
357,George,-1.5,Katsu,854,940,2040,4503,2396.875
12,Rachel,1.411,Uzuri,764,976,2146,4839,2393.375
173,Scott,-0.555,Iyslander,767,1008,2121,4736,2393.25
356,Kelly,-0.932,Rhinar,816,904,2152,4564,2376.5
175,Willie,-0.712,Iyslander,767,999,2113,4627,2373.125
44,Diana,0.038,Iyslander,790,954,2070,4677,2369.125
49,Sandy,-1.511,Bravo,849,839,2030,4587,2349.375
226,Orlando,-1.922,Dash,765,910,2150,4665,2340.625
107,Juanita,0.402,Azalea,806,941,1956,4547,2333.875
452,Mark,-0.49,Iyslander,779,908,2131,4527,2331.625
421,Riley,-0.237,Fai,770,962,2027,4566,2328.5
7,Timothy,-1.825,Dromai,796,837,2113,4549,2311.375
325,Hector,-1.265,Bravo,767,847,2034,4716,2288.5
291,Donna,-0.732,Fai,744,943,1995,4405,2264.875
347,David,-1.455,Rhinar,767,856,2062,4372,2257
472,Gladys,-1.495,Katsu,794,868,1927,4370,2256
152,James,-0.676,Fai,786,848,1924,4382,2238.75
214,Joel,-1.274,Dromai,717,811,2059,4741,2229.875
501,Amy,0.236,Boltyn,749,903,1917,4364,2225.25
449,Cindy,0.032,Dorinthea,702,910,1979,4546,2220
350,Jennifer,-0.626,Iyslander,700,927,1957,4451,2209.125
465,Katherine,-1.229,Iyslander,711,960,1891,4357,2208.375
289,Susan,0.671,Boltyn,735,946,1849,4242,2200.5
123,Viola,-0.88,Fai,755,821,1861,4223,2158.625
309,Thomas,-1.264,Rhinar,741,775,2000,4216,2155.5
462,Patrick,-1.295,Katsu,748,805,1885,4244,2152.25
312,Luke,-0.78,Fai,729,836,1866,4202,2138.75
355,Chi,-1.842,Bravo,726,796,1892,4272,2131
216,Jason,-0.614,Fai,730,811,1858,4225,2128.125
393,Grace,-0.062,Azalea,691,870,1812,4223,2106.875
394,Mary,-1.312,Iyslander,662,882,1882,4228,2102
416,Diane,-1.611,Katsu,711,849,1836,4051,2100.875
203,Thomas,-1.592,Bravo,700,789,1867,4273,2095.375
253,Edwin,-1.834,Dromai,678,759,1943,4387,2091.625
147,Michael,-0.192,Iyslander,677,796,1872,4387,2091.375
125,Elinor,0.002,Azalea,680,882,1835,4089,2090.875
470,Alyce,0.087,Uzuri,631,965,1755,4292,2088.75
398,William,0.199,Uzuri,668,882,1753,4164,2067.75
32,Damian,0.294,Azalea,693,822,1781,4127,2065.125
235,Rodolfo,-1.219,Iyslander,675,825,1812,4156,2060
171,Jon,-0.211,Dorinthea,645,892,1789,4146,2056.5
91,Doris,0.771,Boltyn,679,895,1688,4055,2055.375
272,Yvonne,-0.895,Iyslander,661,829,1855,4127,2055.125
435,Emily,0.89,Uzuri,626,858,1885,4133,2042.875
446,William,0.963,Uzuri,626,855,1814,4232,2036
61,Celeste,-0.481,Dorinthea,643,872,1755,4074,2027
241,Robert,-0.469,Dorinthea,677,828,1699,4014,2017.5
460,Mel,-1.354,Dromai,636,748,1803,4423,2013.625
406,Tony,-1.631,Katsu,680,741,1809,4033,2006.875
486,Frank,0.619,Uzuri,636,841,1721,4072,1995.75
303,Glenn,-0.09,Dorinthea,597,797,1813,4071,1957.625
418,Jason,-0.083,Azalea,637,779,1763,3859,1949.625
118,Robert,-0.889,Iyslander,584,826,1736,4025,1934.125
451,Jane,-1.53,Rhinar,625,722,1774,3898,1916.75
3,Charlene,-2.013,Dash,619,681,1730,4138,1909.25
